section,type,ids,title,price,original_price,link,image,source,badge,row,hint
# ── ai_calculator (GPU strip) ─────────────────────────────────────────────────────────────────────
# type=item | ids ว่าง = แสดงทุกครั้ง | title/price/link required
ai_calculator,item,,ASUS DUAL GeForce RTX 5060 8GB GDDR7 (ตัวอย่าง),14990,16500,https://s.shopee.co.th/ใส่ลิงก์จริง,,Shopee,ขายดี,,
ai_calculator,item,,MSI GeForce RTX 5060 VENTUS 2X 8G (ตัวอย่าง),13990,,https://s.shopee.co.th/ใส่ลิงก์จริง,,Shopee,,,
# ── ai_calculator_cpu (CPU strip — กรองตาม ids) ────────────────────────────────────────────────────
# ids = cpu id คั่นด้วย | เช่น r9_7950x|r9_7900x (ดู id ใน data/ai-models/cpus.json)
ai_calculator_cpu,item,r9_7950x|r9_7900x,AMD Ryzen 9 7950X Box (ตัวอย่าง),18990,,https://s.shopee.co.th/ใส่ลิงก์จริง,,Shopee,แนะนำ,,
ai_calculator_cpu,item,r7_7700x,AMD Ryzen 7 7700X Box (ตัวอย่าง),11990,,https://s.shopee.co.th/ใส่ลิงก์จริง,,Shopee,,,
ai_calculator_cpu,item,i9_14900k|i7_14700k,Intel Core i9-14900K Box (ตัวอย่าง),17500,,https://s.shopee.co.th/ใส่ลิงก์จริง,,Shopee,ราคาดี,,
ai_calculator_cpu,item,r9_7950x|r9_7900x|r7_7700x|r5_7600x,ASUS PRIME X670-P WiFi Motherboard AM5 (ตัวอย่าง),8990,,https://s.shopee.co.th/ใส่ลิงก์จริง,,Shopee,,,
# ── mac_llm (Mac strip) ───────────────────────────────────────────────────────────────────────────
mac_llm,item,,Apple MacBook Air M4 13" 16GB (ตัวอย่าง),39900,,https://s.shopee.co.th/ใส่ลิงก์จริง,,Shopee,แนะนำ,,
# ── mac_llm guide (Buying Guide table column — row 0–6) ───────────────────────────────────────────
# type=guide | row=แถว (0-6) | title=ชื่อสินค้า | hint=คำอธิบายสั้น | price/link required
mac_llm,guide,,เคส MacBook Air M4 ASUS (ตัวอย่าง),590,,https://s.shopee.co.th/ใส่ลิงก์จริง,,,, 0,ป้องกันรอยพร้อมใช้งาน
mac_llm,guide,,เคส MacBook Air M4 32GB (ตัวอย่าง),620,,https://s.shopee.co.th/ใส่ลิงก์จริง,,,, 1,ป้องกันรอยครบชุด
mac_llm,guide,,เคส MacBook Pro M4 Pro (ตัวอย่าง),650,,https://s.shopee.co.th/ใส่ลิงก์จริง,,,, 2,กันกระแทกมืออาชีพ
mac_llm,guide,,เคส MacBook Pro M4 Pro 48GB (ตัวอย่าง),650,,https://s.shopee.co.th/ใส่ลิงก์จริง,,,, 3,
mac_llm,guide,,เคส MacBook Pro M4 Max (ตัวอย่าง),680,,https://s.shopee.co.th/ใส่ลิงก์จริง,,,, 4,
mac_llm,guide,,เคส MacBook Pro M4 Max 128GB (ตัวอย่าง),680,,https://s.shopee.co.th/ใส่ลิงก์จริง,,,, 5,
mac_llm,guide,,Stand + Hub Mac Studio (ตัวอย่าง),1290,,https://s.shopee.co.th/ใส่ลิงก์จริง,,,, 6,ตั้งโต๊ะ + USB Hub ครบ
# ── solar (Solar strip) ───────────────────────────────────────────────────────────────────────────
solar,item,,แผงโซล่าเซลล์ 550W Mono (ตัวอย่าง),4990,,https://s.shopee.co.th/ใส่ลิงก์จริง,,Shopee,ขายดี,,
# ── ev (EV Charger strip) ─────────────────────────────────────────────────────────────────────────
ev,item,,EV Charger 7kW Wallbox Type 2 (ตัวอย่าง),12900,,https://s.shopee.co.th/ใส่ลิงก์จริง,,Shopee,แนะนำ,,
# ── gold (Gold strip) ─────────────────────────────────────────────────────────────────────────────
gold,item,,ทองคำแท่ง 1 บาท ออโรร่า (ตัวอย่าง),52000,,https://s.shopee.co.th/ใส่ลิงก์จริง,,Shopee,,,
# ── image_gen (Image Gen strip) ───────────────────────────────────────────────────────────────────
image_gen,item,,ASUS DUAL GeForce RTX 5060 8GB (ตัวอย่าง),14990,,https://s.shopee.co.th/ใส่ลิงก์จริง,,Shopee,,,
# ── image_gen guide (GPU Buying Guide table — row 0–2) ────────────────────────────────────────────
image_gen,guide,,MSI GeForce RTX 5060 VENTUS 2X 8G (ตัวอย่าง),13990,,https://s.shopee.co.th/ใส่ลิงก์จริง,,,, 0,VRAM 8GB เริ่มต้น SD/FLUX Schnell
image_gen,guide,,ASUS DUAL GeForce RTX 5060 Ti 16G (ตัวอย่าง),19990,,https://s.shopee.co.th/ใส่ลิงก์จริง,,,, 1,VRAM 16GB ครบ FLUX Dev FP8
image_gen,guide,,MSI GeForce RTX 5070 Ti Gaming X Slim (ตัวอย่าง),35990,,https://s.shopee.co.th/ใส่ลิงก์จริง,,,, 2,VRAM 16GB Pro batch gen
